date,time,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,formation,referee,sh,sot,dist,fk,pk,pkatt,season,team,gf_rolling,ga_rolling,xg_rolling,xga_rolling,poss_rolling,attendance_rolling,sh_rolling,sot_rolling,dist_rolling,fk_rolling,pk_rolling,pkatt_rolling
2022-03-20,14,30,1.0,1,2,0.7465764700942769,-0.08019028775317895,2,0.1759737539726357,0.26280159317794854,0.28007401260190035,0.8852247100704363,7,5,0.06729217098655654,0.12458565557262284,0.42394366555659857,1.229984962060572,-0.35197533958519506,-0.395811402901264,2022,10,-0.1983275091351925,-0.6559244811083715,-0.7908316103948619,0.5801252227640191,0.2795998661316224,0.9037209528656591,-0.171866811057335,0.2263170165205551,0.08409479935113184,-0.10030862586824381,-0.35197533958519506,-0.395811402901264
2022-04-02,17,31,7.0,0,0,-0.03219279915912948,-0.08019028775317895,13,-0.5867226047266119,0.13394187967137275,-0.2829834330616231,1.6323090057402674,7,0,-0.12492285421210972,-0.31629047111465197,-0.3802683453054371,-0.7654554198326518,-0.35197533958519506,-0.395811402901264,2022,10,-0.19832750913519256,-0.23727159989163912,-0.8756354482001837,0.7656867091492549,0.22660217295678442,1.078751696897483,-0.7153150084008312,-0.022373053323135463,0.18308981612166,-0.10030862586824381,-0.35197533958519506,-0.395811402901264
2022-04-10,14,32,1.0,1,2,0.7465764700942769,-0.08019028775317895,6,-0.25616639458993806,0.13394187967137275,0.04006337926565814,0.8870902479947401,7,19,0.06729217098655654,-0.31629047111465197,1.316745281402634,1.56785220529077,-0.35197533958519506,-0.395811402901264,2022,10,-0.1983275091351926,0.18138128132509335,-0.6816703874255915,0.5343764275533232,0.11891990218102398,1.3115606619826696,-0.4289633017645245,-0.16933176221889376,-0.1929928641402393,-0.10030862586824381,-0.35197533958519506,-0.395811402901264
2022-04-17,14,33,1.0,0,1,-0.03219279915912948,0.7045244194816388,14,-0.9611924591341496,0.26280159317794854,1.3777845245530085,1.327018420568215,5,8,-0.7529271483907327,-0.8281984158411665,-0.31170230810749816,-0.7654554198326518,-0.35197533958519506,-0.395811402901264,2022,10,0.48698671367647467,-0.08019028775317895,-0.22230508178130468,0.17689511750689793,0.012384652935311645,1.1348746546018145,0.003220495920334604,-0.16933176221889376,0.4534735338845987,0.6774605825062302,-0.35197533958519506,-0.395811402901264
2022-04-20,19,18,4.0,0,0,-0.03219279915912948,-0.08019028775317895,7,-0.25616639458993806,0.5033743091684274,1.0676034913498442,1.0713530474905382,7,6,-0.12492285421210972,-0.31629047111465197,-0.14157326383233673,-0.7654554198326518,-0.35197533958519506,-0.395811402901264,2022,10,0.22739695725867257,0.18138128132509332,-0.6013604861502331,0.17689511750689793,0.37828815691901435,1.2821392247677408,-0.27018594387209516,-0.48692645269015683,0.2082582093298997,0.012313788541822154,-0.35197533958519506,-0.395811402901264
2022-04-23,15,34,7.0,1,0,-1.3093661983407248,-1.3361489314033763,1,-1.3921281004728758,-0.9920021856868266,1.0676034913498442,0.8952129839307896,5,1,-1.4918980781587348,-0.8281984158411665,1.8686145263646365,1.56785220529077,-0.35197533958519506,-0.395811402901264,2022,10,0.22739695725867257,0.18138128132509335,-0.49117508277134186,0.30003926067258285,0.8284837983895036,1.0951539053511645,-0.27018594387209516,-0.48692645269015683,0.28782323648759983,0.012313788541822154,-0.35197533958519506,-0.395811402901264
2020-10-04,19,4,1.0,0,1,0.7465764700942769,1.7492107592727837,1,0.772148158087037,2.328617480991063,1.531934781606981,-1.6736319172427558,10,13,0.4316592611881658,1.4991656817474244,-0.3802683453054371,1.229984962060572,-0.35197533958519506,-0.395811402901264,2021,11,1.0146589038166798,-0.043794050882874656,1.1177665749873515,-0.4290788742278096,0.7764588017404471,-1.6736319172427558,1.0894724543390621,0.8077340069223143,0.08200717209123584,-0.10030862586824381,0.7123858180275514,0.5782776524656762
2020-10-17,12,5,7.0,0,0,0.7465764700942769,0.7045244194816388,7,1.1689657393498092,0.13394187967137275,0.5972874099126281,-1.6736319172427558,10,14,1.697636763017045,1.4991656817474244,-0.657594313300349,1.229984962060572,-0.35197533958519506,-0.395811402901264,2021,11,0.9356519974969658,0.11095718003874278,1.1177665749873515,0.6777943479981535,1.2737492691875547,-1.6736319172427558,0.9737648599335823,1.0778002345548208,-0.05367414195699802,0.5648381680961642,-0.35197533958519506,-0.395811402901264
2020-10-24,20,6,7.0,1,2,0.7465764700942769,-0.08019028775317895,16,1.431754012008715,0.38578315783590705,0.9115285014026747,-1.6736319172427558,7,16,0.9372329847678031,0.5160370212151973,0.42394366555659857,1.229984962060572,-0.35197533958519506,-0.395811402901264,2021,11,0.9356519974969659,0.7911816303337479,1.1177665749873515,0.820402596547864,1.1690022386908725,-1.6736319172427558,1.0894724543390621,1.0778002345548208,-0.3594057977373862,0.5648381680961642,-0.35197533958519506,-0.395811402901264
2020-10-31,17,7,7.0,1,2,0.7465764700942769,-0.08019028775317895,21,0.772148158087037,-1.1974265283220873,1.838455326513724,-1.6736319172427558,10,11,-0.7529271483907327,-0.8281984158411665,0.5542864176053205,1.229984962060572,2.8411081332530443,2.526455763199557,2021,11,0.7465764700942769,0.7911816303337479,1.1177665749873515,0.9494475061661142,1.013583564307428,-1.6736319172427558,1.022176336324338,1.0778002345548208,-0.20463966434972922,1.229984962060572,-0.35197533958519506,-0.395811402901264
